UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
LaJ-RI02,"Langevin, James R.",JimLangevin,2009-01-01,2009,,
NuJ-IA01,"Nussle, Jim",JimNussle,2009-02-01,2009,,
ObJ-MN08,"Oberstar, James L.",JimOberstar,2009-02-09,2009,,
ReJ-OH16,"Renacci, James B.",JimRenacci,2014-02-01,2014,,
RyJ-KS02,"Ryun, Jim",jimryun,2009-12-01,2009,,
MoJ-GU00,"Moylan, James C.",JMoylanforGuam,2022-12-01,2022,,
CaJ-TX20,"Castro, Joaquin",JoaquinCastrotx,2010-01-01,2010,,
CrJ-NY14,"Crowley, Joseph",JoeCrowleyNY,2010-02-01,2010,,
GaJ-FL26,"Garcia, Joe",JoeGarcia,2007-12-01,2007,,
KeJ-MA04,"Kennedy, Joseph P., III",joekennedy,2013-01-01,2013,,
PiJ-PA16,"Pitts, Joseph R.",JoePitts4PA,2010-02-01,2010,,
SeJ-NY23,"Sempolinski, Joseph",JoeSempo,2021-01-01,2021,,
SeJ-PA07,"Sestak, Joe",JoeSestak,2009-06-01,2009,,
BaJ-GA12,"Barrow, John",JohnBarrowMC,2020-04-01,2020,,
BoJ-AR03,"Boozman, John",JohnBoozman,2007-04-01,2007,,
CaJ-DE00,"Carney, John C., Jr.",JohnCarneyDE,2011-01-01,2011,,
CuJ-TX07,"Culberson, John Abney",johnculberson,2008-05-01,2008,,
DeJ-MD06,"Delaney, John K.",JohnDelaney,2011-12-01,2011,,
DiJ-MI12,"Dingell, John D.",JohnDingell,2010-01-01,2010,,
JaJ-MI10,"James, John",JohnJamesMI,2017-05-01,2017,,
RaJ-TX04,"Ratcliffe, John",JohnRatcliffe,2014-10-01,2014,,
YaJ-KY03,"Yarmuth, John A.",JohnYarmuth,2011-10-01,2011,,
PoJ-NV03,"Porter, Jon C.",jportertweets,2011-10-01,2011,,
