UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
WeR-TX14,"Weber, Randy K., Sr.",TXRandy14,1/1/2013,2013,,
JoD-FL13,"Jolly, David W.",USRepDavidJolly,5/1/2014,2014,,
PaG-AL06,"Palmer, Gary J.",USRepGaryPalmer,11/1/2014,2014,,
CaK-FL14,"Castor, Kathy",USRepKCastor,,1900,,
KeW-MA09,"Keating, William R.",USRepKeating,1/1/2011,2011,,
DoM-PA18,"Doyle, Michael F.",USRepMikeDoyle,5/1/2009,2009,,
FlM-NE01,"Flood, Mike",USRepMikeFlood,,1900,,
HiR-TX15,"Hinojosa, Ruben",USRepRHinojosa,1/1/2011,2011,,
NoR-MN08,"Nolan, Richard M.",USRepRickNolan,1/1/2013,2013,,
FoV-NC04,"Foushee, Valerie P.",ValerieFoushee,1/1/2023,2023,,
McV-LA05,"McAllister, Vance M.",VanceMcAllister,9/1/2013,2013,,
BuV-FL16,"Buchanan, Vern",VernBuchanan,,1900,,
GoV-VA05,"Goode, Virgil H., Jr.",VirgilGoode,6/1/2012,2012,,
FoV-NC05,"Foxx, Virginia",virginiafoxx,,1900,,
JoB-MI13,"Jones, Brenda",VoteBrendaJones,6/1/2018,2018,,
BrC-FL05,"Brown, Corrine",votecorrine,6/1/2022,2022,,
WaJ-IL08,"Walsh, Joe",WalshFreedom,1/1/2011,2011,,
DaW-OH08,"Davidson, Warren",WarrenDavidson,,1900,,
WeL-GA03,"Westmoreland, Lynn A.",Westmoreland_GA,4/1/2010,2010,,
HuW-TX23,"Hurd, Will",WillHurd,1/1/2015,2015,,
YoD-IA03,"Young, David",YoungForIowa,5/1/2013,2013,,
NuZ-IA03,"Nunn, Zachary",ZachNunn,,1900,,
